Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	3,34887	Water	SD	0,13	62	2,9637		170,73	70,3		516996
2	3,13472	Water	SD	0,2	62,2	2,8898		170,73	75,79		549676
3	3,32874	Water	SD	0,18	58,9	3,0254		170,73	79,99		582956
4	3,46384	Water	SD	0,08	58,4	3,0874		170,73	59,79		614036
5	3,16147	Water	SD	0,18	68,6	2,7588		170,73	78,59		642676
6	3,401	Water	SD	0,14	64,3	2,9262		170,73	70,9		667516
7	3,21621	Water	SD	0,11	64,3	2,8736		170,73	62,6		713556
8	3,31108	Water	SD	0,09	64,7	2,8935		170,73	63,6		749437
9	3,22135	Water	SD	0,16	64,2	2,8768		170,73	67,94		775117
10	3,35169	Water	SD	0,21	77,3	2,6234		170,73	94,01		803237
11	3,35089	Water	SD	0,12	65,7	2,878		170,73	75,28		828397
12	3,01946	Water	SD	0,08	61,2	2,8815		170,73	60,42		855237
13	3,45067	Water	SD	0,13	64,2	2,9412		170,73	74,23		880997
14	3,11447	Water	SD	0,29	61,8	2,8899		170,73	90,7		919277
