Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
1	3,0407	Water	SD	0,07	70,8	2,6738		171,78	91,17		1077346
2	3,12032	Water	SD	0,08	70,8	2,697		171,78	89,22		1129186
3	3,31431	Water	SD	0,07	71,2	2,7444		171,78	87,46		1176106
4	3,27375	Water	SD	0,15	70,8	2,7426		171,78	88,56		1273066
5	3,0954	Water	SD	0,13	71,7	2,6703		171,78	91,2		1322946
6	3,07347	Water	SD	0,14	71,4	2,6718		171,78	86,8		1430346
7	3,29941	Water	SD	0,16	71,5	2,7339		171,78	91,47		1480786
8	3,18846	Water	SD	0,11	70,8	2,7171		171,78	90,77		1529826
9	3,1404	Water	SD	0,11	68,7	2,7474		171,78	87,88		1615266
10	3,37921	Water	SD	0,22	72,5	2,7358		171,78	80,27		1651986
11	3,14822	Water	SD	0,07	71,5	2,6911		171,78	82,35		1688666
