Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
99	-999	Water	SD	-999	72,3	2,8758		171,78	0		395209
100	-999	Water	SD	-999	72,1	2,8816		171,78	0		395244
101	-999	Water	SD	-999	72,1	2,8816		171,78	0		395273
102	-999	Water	SD	-999	72,2	2,8874		171,78	0		395304
103	-999	Water	SD	-999	71,9	2,9049		171,78	0		395343
104	-999	Water	SD	-999	72,2	2,9166		171,78	0		395374
105	-999	Water	SD	-999	72,3	2,9224		171,78	0		395406
106	-999	Water	SD	-999	72,3	2,9224		171,78	0		395438
107	-999	Water	SD	-999	72,3	2,9398		171,78	0		395474
108	-999	Water	SD	-999	72,3	2,9398		171,78	0		395504
109	-999	Water	SD	-999	72,2	2,9457		171,78	0		395534
110	-999	Water	SD	-999	72,2	2,9573		171,78	0		395567
111	-999	Water	SD	-999	72,5	2,9631		171,78	0		395598
112	-999	Water	SD	-999	72,5	2,9631		171,78	0		395629
113	-999	Water	SD	-999	71,9	2,9748		171,78	0		395662
114	-999	Water	SD	-999	72,3	2,9864		171,78	0		395693
115	-999	Water	SD	-999	72,1	2,9922		171,78	0		395723
116	-999	Water	SD	-999	70,5	3,0097		171,78	0		395755
117	-999	Water	SD	-999	70,5	3,0097		171,78	0		395785
118	-999	Water	SD	-999	72,5	3,0155		171,78	0		395829
119	-999	Water	SD	-999	72,8	3,0213		171,78	0		395867
120	-999	Water	SD	-999	72,4	3,0272		171,78	0		395898
121	-999	Water	SD	-999	71,8	3,0388		171,78	0		395929
122	-999	Water	SD	-999	72,4	3,0446		171,78	0		395970
123	-999	Water	SD	-999	72,4	3,0446		171,78	0		396003
124	-999	Water	SD	-999	72,5	3,0621		171,78	0		396036
125	-999	Water	SD	-999	72,5	3,0621		171,78	0		396070
126	-999	Water	SD	-999	71,6	3,0796		171,78	0		396112
127	-999	Water	SD	-999	70,8	3,0912		171,78	0		396144
128	-999	Water	SD	-999	70,7	3,1028		171,78	0		396175
129	-999	Water	SD	-999	71,1	3,1087		171,78	0		396219
130	-999	Water	SD	-999	71	3,1145		171,78	0		396251
131	-999	Water	SD	-999	71	3,1145		171,78	0		396284
132	-999	Water	SD	-999	70,3	3,1378		171,78	0		396318
133	-999	Water	SD	-999	70,3	3,1378		171,78	0		396351
134	-999	Water	SD	-999	69,8	3,1552		171,78	0		396383
135	-999	Water	SD	-999	70,7	3,1552		171,78	0		396420
136	-999	Water	SD	-999	69,9	3,1611		171,78	0		396453
137	-999	Water	SD	-999	69,8	3,1727		171,78	0		396491
138	-999	Water	SD	-999	69,9	3,1786		171,78	0		396521
139	-999	Water	SD	-999	69,3	3,1902		171,78	0		396553
140	-999	Water	SD	-999	69,3	3,1902		171,78	0		396594
141	-999	Water	SD	-999	69,2	3,2018		171,78	0		396627
142	-999	Water	SD	-999	68,6	3,2193		171,78	0		396886
143	-999	Water	SD	-999	68,5	3,2193		171,78	0		396941
144	-999	Water	SD	-999	67,6	3,2193		171,78	0		396973
145	-999	Water	SD	-999	68,1	3,2251		171,78	0		397005
146	-999	Water	SD	-999	68,1	3,2251		171,78	0		397063
147	-999	Water	SD	-999	67,7	3,2367		171,78	0		397095
148	-999	Water	SD	-999	67,6	3,2309		171,78	0		397128
149	-999	Water	SD	-999	67,6	3,2309		171,78	0		397162
150	-999	Water	SD	-999	67,4	3,2309		171,78	0		397196
151	-999	Water	SD	-999	67,4	3,2309		171,78	0		397229
152	-999	Water	SD	-999	67,6	3,2251		171,78	0		397259
153	-999	Water	SD	-999	67,8	3,2251		171,78	0		397298
154	-999	Water	SD	-999	67,4	3,2368		171,78	0		397334
155	-999	Water	SD	-999	67,7	3,2309		171,78	0		397367
156	-999	Water	SD	-999	67,8	3,231		171,78	0		397409
157	-999	Water	SD	-999	67,6	3,2367		171,78	0		397443
158	-999	Water	SD	-999	67,6	3,2367		171,78	0		397485
159	-999	Water	SD	-999	67,6	3,2425		171,78	0		397525
160	-999	Water	SD	-999	67,8	3,2425		171,78	0		397561
161	-999	Water	SD	-999	67,8	3,2425		171,78	0		397595
